province,city,confirmedCount,deadCount,curedCount
台湾,台湾,9288,605,14389
广东,广东,2526,8,2723
广东,广州市,1407,1,1283
广东,深圳市,552,3,504
广东,佛山市,164,0,147
广东,珠海市,120,1,112
广东,江门市,34,0,29
广东,东莞市,105,1,100
广东,肇庆市,35,1,32
广东,阳江市,18,0,16
广东,中山市,71,0,70
广东,湛江市,41,0,40
广东,惠州市,63,0,63
广东,汕头市,26,0,26
广东,梅州市,17,0,17
广东,茂名市,17,0,17
广东,清远市,14,0,14
广东,揭阳市,11,0,11
广东,韶关市,10,1,9
广东,潮州市,7,0,7
广东,汕尾市,6,0,6
广东,河源市,5,0,5
广东,待明确地区,0,0,18
香港,香港,11621,210,11905
上海,上海,2131,7,2196
上海,境外输入市,1825,0,1767
上海,外地来沪市,113,1,112
上海,浦东新区,69,1,68
上海,宝山区,26,1,25
上海,黄浦区,22,0,22
上海,闵行区,19,0,19
上海,徐汇区,18,1,17
上海,静安区,16,1,15
上海,松江区,14,0,14
上海,长宁区,14,0,14
上海,普陀区,11,0,11
上海,杨浦区,9,0,9
上海,嘉定区,9,2,7
上海,奉贤区,9,0,9
上海,虹口区,7,0,7
上海,青浦区,6,0,6
上海,金山区,4,0,4
上海,崇明区,4,0,4
上海,境外来沪市,1,0,1
浙江,浙江,1337,1,1384
浙江,境外输入市,165,0,119
浙江,温州市,504,1,503
浙江,杭州市,181,0,181
浙江,宁波市,157,0,157
浙江,台州市,147,0,147
浙江,金华市,55,0,55
浙江,嘉兴市,46,0,46
浙江,绍兴市,42,0,42
浙江,省十里丰监狱市,36,0,36
浙江,丽水市,17,0,17
浙江,衢州市,14,0,14
浙江,湖州市,10,0,10
浙江,舟山市,10,0,10
福建,福建,614,1,661
福建,境外输入人员市,365,0,319
福建,福州市,72,1,71
福建,莆田市,56,0,56
福建,泉州市,47,0,47
福建,厦门市,35,0,35
福建,宁德市,26,0,26
福建,漳州市,20,0,20
福建,南平市,20,0,20
福建,三明市,14,0,14
福建,龙岩市,6,0,6
四川,四川,1037,3,1084
四川,成都市,687,3,640
四川,甘孜州市,78,0,78
四川,达州市,42,0,42
四川,南充市,39,0,39
四川,广安市,30,0,30
四川,泸州市,24,0,24
四川,巴中市,24,0,24
四川,绵阳市,22,0,22
四川,内江市,22,0,22
四川,德阳市,18,0,18
四川,遂宁市,17,0,17
四川,攀枝花市,16,0,16
四川,凉山州市,14,0,14
四川,宜宾市,12,0,12
四川,自贡市,9,0,9
四川,眉山市,8,0,8
四川,雅安市,8,0,8
四川,广元市,6,0,6
四川,资阳市,4,0,4
四川,乐山市,3,0,3
四川,阿坝州市,1,0,1
云南,云南,350,2,396
云南,境外输入市,129,0,86
云南,德宏州市,98,0,97
云南,昆明市,53,0,53
云南,昭通市,25,0,25
云南,西双版纳市,15,1,14
云南,玉溪市,14,1,13
云南,曲靖市,13,0,13
云南,大理州市,13,0,13
云南,红河州市,9,0,9
云南,保山市,9,0,9
云南,丽江市,7,0,7
云南,普洱市,4,0,4
云南,楚雄州市,4,0,4
云南,文山州市,2,0,2
云南,临沧市,1,0,1
北京,北京,1051,9,1076
北京,境外输入市,248,0,219
北京,丰台区,273,0,273
北京,大兴区,134,0,134
北京,海淀区,82,0,82
北京,朝阳区,80,0,80
北京,西城区,59,0,59
北京,顺义区,45,0,45
北京,昌平区,34,0,34
北京,外地来京市,25,0,25
北京,通州区,20,0,20
北京,房山区,20,0,20
北京,东城区,19,0,19
北京,石景山区,15,0,15
北京,怀柔区,8,0,8
北京,密云区,7,0,7
北京,门头沟区,5,0,5
北京,延庆区,1,0,1
北京,待明确地区,1,9,5
江苏,江苏,729,0,742
江苏,境外输入市,111,0,98
江苏,南京市,93,0,93
江苏,苏州市,87,0,87
江苏,徐州市,79,0,79
江苏,淮安市,66,0,66
江苏,无锡市,55,0,55
江苏,常州市,51,0,51
江苏,连云港市,48,0,48
江苏,南通市,40,0,40
江苏,泰州市,37,0,37
江苏,盐城市,27,0,27
江苏,扬州市,23,0,23
江苏,宿迁市,13,0,13
江苏,镇江市,12,0,12
陕西,陕西,609,3,624
陕西,境外输入市,376,0,364
陕西,西安市,121,3,118
陕西,安康市,26,0,26
陕西,汉中市,26,0,26
陕西,咸阳市,17,0,17
陕西,渭南市,17,0,17
陕西,宝鸡市,13,0,13
陕西,延安市,8,0,8
陕西,铜川市,8,0,8
陕西,商洛市,7,0,7
陕西,榆林市,3,0,3
陕西,韩城市,1,0,1
陕西,杨凌市,1,0,1
天津,天津,386,3,400
天津,境外输入市,253,0,242
天津,宝坻区,60,2,58
天津,河东区,15,1,14
天津,滨海新区,13,0,13
天津,河北区,12,0,12
天津,北辰区,7,0,7
天津,南开区,6,0,6
天津,和平区,6,0,6
天津,外地来津市,6,0,6
天津,东丽区,4,0,4
天津,宁河区,4,0,4
天津,河西区,4,0,4
天津,西青区,4,0,4
天津,武清区,2,0,2
天津,红桥区,2,0,2
天津,津南区,2,0,2
内蒙古,内蒙古,387,1,394
内蒙古,境外输入人员市,289,0,283
内蒙古,呼伦贝尔市,37,0,37
内蒙古,鄂尔多斯市,11,0,11
内蒙古,包头市,11,0,11
内蒙古,赤峰市,9,0,9
内蒙古,锡林郭勒盟,9,0,9
内蒙古,巴彦淖尔市,8,1,7
内蒙古,呼和浩特市,7,0,7
内蒙古,通辽市,7,0,7
内蒙古,乌兰察布市,3,0,3
内蒙古,乌海市市,2,0,2
内蒙古,兴安盟,1,0,1
河南,河南,1291,22,1317
河南,境外输入市,44,0,40
河南,信阳市,274,2,272
河南,郑州市,157,5,152
河南,南阳市,156,3,153
河南,驻马店市,139,0,139
河南,商丘市,91,3,88
河南,周口市,76,1,75
河南,平顶山市,58,1,57
河南,新乡市,57,3,54
河南,安阳市,53,0,53
河南,许昌市,39,1,38
河南,漯河市,36,0,36
河南,焦作市,32,1,31
河南,洛阳市,31,1,30
河南,开封市,26,0,26
河南,鹤壁市,19,0,19
河南,濮阳市,17,0,17
河南,三门峡市,7,1,6
河南,济源市,5,0,5
辽宁,辽宁,421,2,427
辽宁,境外输入市,102,0,98
辽宁,大连市,161,0,161
辽宁,沈阳市,74,0,74
辽宁,锦州市,12,0,12
辽宁,葫芦岛市,12,1,11
辽宁,丹东市,11,0,11
辽宁,盘锦市,11,0,11
辽宁,营口市,11,0,11
辽宁,阜新市,8,0,8
辽宁,铁岭市,8,0,8
辽宁,朝阳市,6,1,5
辽宁,鞍山市,4,0,4
辽宁,本溪市,3,0,3
辽宁,辽阳市,3,0,3
辽宁,抚顺市,1,0,1
重庆,重庆,590,6,598
重庆,境外输入市,22,0,20
重庆,万州区,118,4,114
重庆,江北区,28,0,28
重庆,云阳县市,25,0,25
重庆,合川区,23,0,23
重庆,綦江区,23,0,23
重庆,长寿区,22,0,22
重庆,奉节县市,22,0,22
重庆,九龙坡区,21,1,20
重庆,开州区,21,1,20
重庆,忠县市,21,0,21
重庆,渝中区,20,0,20
重庆,垫江县市,20,0,20
重庆,潼南区,18,0,18
重庆,渝北区,17,0,17
重庆,两江新区,17,0,17
重庆,南岸区,15,0,15
重庆,石柱县市,15,0,15
重庆,大足区,14,0,14
重庆,巫溪县市,14,0,14
重庆,铜梁区,10,0,10
重庆,丰都县市,10,0,10
重庆,巫山县市,10,0,10
重庆,沙坪坝区,9,0,9
重庆,璧山区,9,0,9
重庆,荣昌区,9,0,9
重庆,大渡口区,7,0,7
重庆,巴南区,6,0,6
重庆,涪陵区,5,0,5
重庆,永川区,5,0,5
重庆,江津区,4,0,4
重庆,梁平区,4,0,4
重庆,高新区,4,0,4
重庆,黔江区,2,0,2
重庆,城口县市,2,0,2
重庆,彭水县市,2,0,2
重庆,武隆区,1,0,1
重庆,秀山县市,1,0,1
重庆,酉阳县市,1,0,1
重庆,万盛经开区,1,0,1
澳门,澳门,51,0,53
湖北,湖北,63647,4512,68160
湖北,境外输入市,25,0,24
湖北,武汉市,50340,3869,46471
湖北,孝感市,3518,129,3389
湖北,黄冈市,2907,125,2782
湖北,荆州市,1580,52,1528
湖北,鄂州市,1394,59,1335
湖北,随州市,1307,45,1262
湖北,襄阳市,1175,40,1135
湖北,黄石市,1015,39,976
湖北,宜昌市,931,37,894
湖北,荆门市,928,41,887
湖北,咸宁市,836,15,821
湖北,十堰市,672,8,664
湖北,仙桃市,575,22,553
湖北,天门市,496,15,481
湖北,恩施州市,252,7,245
湖北,潜江市,198,9,189
湖北,神农架林区,11,0,11
湖南,湖南,1047,4,1052
湖南,境外输入市,34,0,32
湖南,长沙市,242,2,240
湖南,岳阳市,156,1,155
湖南,邵阳市,102,1,101
湖南,常德市,82,0,82
湖南,株洲市,80,0,80
湖南,娄底市,76,0,76
湖南,益阳市,60,0,60
湖南,衡阳市,48,0,48
湖南,永州市,44,0,44
湖南,怀化市,40,0,40
湖南,郴州市,39,0,39
湖南,湘潭市,36,0,36
湖南,湘西自治州市,8,0,8
湖南,张家界市,5,0,5
山东,山东,875,7,883
山东,境外输入市,105,0,104
山东,济宁市,260,0,260
山东,青岛市,80,1,79
山东,临沂市,49,0,49
山东,济南市,47,0,47
山东,烟台市,47,0,47
山东,潍坊市,44,0,44
山东,威海市,38,1,37
山东,聊城市,38,0,38
山东,德州市,37,2,35
山东,泰安市,35,2,33
山东,淄博市,30,1,29
山东,枣庄市,24,0,24
山东,菏泽市,18,0,18
山东,日照市,16,0,16
山东,滨州市,15,0,15
山西,山西,252,0,253
山西,境外输入市,115,0,114
山西,晋中市,41,0,41
山西,太原市,21,0,21
山西,运城市,19,0,19
山西,大同市,12,0,12
山西,晋城市,10,0,10
山西,长治市,8,0,8
山西,朔州市,8,0,8
山西,忻州市,7,0,7
山西,吕梁市,6,0,6
山西,阳泉市,4,0,4
山西,临汾市,2,0,2
甘肃,甘肃,192,2,195
甘肃,境外输入市,103,0,102
甘肃,兰州市,36,2,34
甘肃,天水市,12,0,12
甘肃,平凉市,9,0,9
甘肃,定西市,9,0,9
甘肃,甘南市,8,0,8
甘肃,白银市,4,0,4
甘肃,陇南市,4,0,4
甘肃,庆阳市,3,0,3
甘肃,临夏市,3,0,3
甘肃,张掖市,2,0,2
甘肃,金昌市,1,0,1
甘肃,省级（湖北输入）市,1,0,1
海南,海南,181,6,188
海南,境外输入市,19,0,18
海南,三亚市,55,1,54
海南,海口市,39,0,39
海南,儋州市,15,1,14
海南,万宁市,13,0,13
海南,澄迈市,9,1,8
海南,昌江市,7,0,7
海南,琼海市,6,1,5
海南,临高市,6,0,6
海南,陵水市,4,0,4
海南,定安市,3,1,2
海南,文昌市,3,0,3
海南,东方市,3,1,2
海南,保亭市,3,0,3
海南,乐东市,2,0,2
海南,琼中市,1,0,1
宁夏,宁夏,75,0,76
宁夏,银川市,37,0,36
宁夏,吴忠市,28,0,28
宁夏,固原市,5,0,5
宁夏,中卫市,4,0,4
宁夏,宁东市,1,0,1
宁夏,石嘴山市,1,0,1
黑龙江,黑龙江,1599,13,1612
黑龙江,绥化市,536,4,532
黑龙江,哈尔滨市,410,4,406
黑龙江,境外输入市,392,0,392
黑龙江,双鸭山市,52,3,49
黑龙江,鸡西市,46,0,46
黑龙江,齐齐哈尔市,44,1,43
黑龙江,牡丹江市,36,0,36
黑龙江,大庆市,29,1,28
黑龙江,黑河市,24,0,24
黑龙江,七台河市,17,0,17
黑龙江,佳木斯市,15,0,15
黑龙江,鹤岗市,5,0,5
黑龙江,大兴安岭市,3,0,3
黑龙江,待明确市,2,0,2
黑龙江,伊春市,1,0,1
河北,河北,1310,7,1317
河北,保定市,49,0,48
河北,石家庄市,898,1,897
河北,邢台市,94,1,93
河北,唐山市,58,1,57
河北,沧州市,49,3,46
河北,张家口市,43,0,43
河北,境外输入市,36,0,36
河北,廊坊市,33,0,33
河北,邯郸市,32,0,32
河北,秦皇岛市,10,1,9
河北,衡水市,8,0,8
河北,承德市,7,0,7
安徽,安徽,998,6,1004
安徽,合肥市,176,1,175
安徽,蚌埠市,160,5,155
安徽,阜阳市,156,0,156
安徽,亳州市,108,0,108
安徽,安庆市,83,0,83
安徽,六安市,77,0,77
安徽,宿州市,41,0,41
安徽,马鞍山市,38,0,38
安徽,芜湖市,34,0,34
安徽,铜陵市,29,0,29
安徽,淮北市,27,0,27
安徽,淮南市,27,0,27
安徽,池州市,17,0,17
安徽,滁州市,13,0,13
安徽,黄山市,9,0,9
安徽,宣城市,6,0,6
安徽,境外输入市,3,0,3
新疆,新疆,977,3,980
新疆,乌鲁木齐市,845,0,845
新疆,喀什地区,80,0,80
新疆,伊犁州市,18,0,18
新疆,兵团第四师,10,1,9
新疆,昌吉州市,5,0,5
新疆,兵团第八师石河子市市,4,1,3
新疆,兵团第九师,4,1,3
新疆,吐鲁番市,3,0,3
新疆,巴州市,3,0,3
新疆,兵团第十二师,3,0,3
新疆,兵团第六师五家渠市市,2,0,2
新疆,兵团第七师,1,0,1
新疆,阿克苏地区,1,0,1
新疆,待明确地区,1,0,1
江西,江西,936,1,937
江西,南昌市,230,0,230
江西,新余市,129,0,129
江西,上饶市,123,0,123
江西,九江市,116,0,116
江西,宜春市,106,0,106
江西,赣州市,74,1,73
江西,抚州市,72,0,72
江西,萍乡市,33,0,33
江西,吉安市,22,0,22
江西,鹰潭市,18,0,18
江西,境外输入市,7,0,7
江西,景德镇市,6,0,6
江西,赣江新区,1,0,1
吉林,吉林,570,3,573
吉林,通化市,313,1,312
吉林,长春市,154,0,154
