date,province,rate
20200110,广东省,23.3
20200110,浙江省,13.43
20200110,湖南省,8.71
20200110,河南省,8.41
20200110,江苏省,6.09
20200110,江西省,3.81
20200110,重庆市,3.47
20200110,福建省,3.39
20200110,北京市,3.18
20200110,安徽省,3.13
20200110,山东省,3.01
20200110,上海市,3.01
20200110,陕西省,2.69
20200110,河北省,2.61
20200110,四川省,2.31
20200110,广西壮族自治区,1.37
20200110,贵州省,1.21
20200110,山西省,1.03
20200110,云南省,0.96
20200110,天津市,0.96
20200110,海南省,0.7
20200110,辽宁省,0.61
20200110,甘肃省,0.54
20200110,新疆维吾尔自治区,0.43
20200110,吉林省,0.34
20200110,黑龙江省,0.31
20200110,内蒙古自治区,0.27
20200110,青海省,0.2
20200110,宁夏回族自治区,0.19
20200110,西藏自治区,0.07
20200111,广东省,24.43
20200111,浙江省,14.79
20200111,湖南省,8.62
20200111,河南省,7.69
20200111,江苏省,6.18
20200111,福建省,4.01
20200111,江西省,3.85
20200111,重庆市,3.39
20200111,上海市,3.27
20200111,北京市,2.98
20200111,安徽省,2.96
20200111,陕西省,2.63
20200111,山东省,2.58
20200111,四川省,2.31
20200111,河北省,2.11
20200111,广西壮族自治区,1.22
20200111,贵州省,1.14
20200111,云南省,0.95
20200111,天津市,0.87
20200111,山西省,0.86
20200111,海南省,0.54
20200111,辽宁省,0.49
20200111,甘肃省,0.41
20200111,新疆维吾尔自治区,0.34
20200111,吉林省,0.31
20200111,黑龙江省,0.29
20200111,内蒙古自治区,0.24
20200111,宁夏回族自治区,0.12
20200111,青海省,0.12
20200111,西藏自治区,0.06
20200112,广东省,26.72
20200112,浙江省,15.85
20200112,湖南省,7.99
20200112,河南省,6.95
20200112,江苏省,5.52
20200112,福建省,4
20200112,江西省,3.75
20200112,重庆市,3.27
20200112,上海市,3.05
20200112,北京市,2.88
20200112,安徽省,2.57
20200112,陕西省,2.56
20200112,山东省,2.24
20200112,河北省,2.17
20200112,四川省,2.03
20200112,广西壮族自治区,1.33
20200112,贵州省,1.06
20200112,云南省,0.96
20200112,天津市,0.86
20200112,山西省,0.8
20200112,海南省,0.56
20200112,辽宁省,0.52
20200112,甘肃省,0.49
20200112,新疆维吾尔自治区,0.35
20200112,吉林省,0.34
20200112,黑龙江省,0.32
20200112,内蒙古自治区,0.27
20200112,宁夏回族自治区,0.18
20200112,青海省,0.13
20200112,西藏自治区,0.05
20200113,广东省,26.63
20200113,浙江省,16.97
20200113,湖南省,7.67
20200113,河南省,6.86
20200113,江苏省,5.9
20200113,福建省,3.76
20200113,江西省,3.51
20200113,上海市,3.08
20200113,重庆市,3.05
20200113,北京市,2.8
20200113,安徽省,2.78
20200113,陕西省,2.41
20200113,山东省,2.25
20200113,四川省,1.9
20200113,河北省,1.83
20200113,广西壮族自治区,1.31
20200113,云南省,1.12
20200113,贵州省,1.05
