provinceName,confirmedCount,deadCount,curedCount
台湾,14260,599,9041
广东,2717,8,2508
香港,11898,210,11619
上海,2190,7,2128
福建,661,1,613
浙江,1383,1,1337
四川,1079,3,1034
云南,394,2,350
北京,1075,9,1051
江苏,742,0,728
陕西,624,3,609
天津,399,3,386
内蒙古,394,1,387
河南,1317,22,1291
辽宁,427,2,421
重庆,598,6,589
澳门,53,0,51
湖北,68160,4512,63647
山东,883,7,875
山西,253,0,252
海南,188,6,181
宁夏,76,0,75
黑龙江,1612,13,1599
河北,1317,7,1310
湖南,1051,4,1047
安徽,1004,6,998
新疆,980,3,977
江西,937,1,936
吉林,573,3,570
广西,275,2,273
甘肃,194,2,192
贵州,147,2,145
青海,18,0,18
西藏,1,0,1
